t,x
36.42,-7.742
36.454,-7.114
36.486,-8.031
36.519,-7.087
36.553,-6.838
36.586,-6.37
36.619,-6.456
36.653,-5.698
36.686,-5.015
36.719,-3.964
36.753,-2.795
36.786,0.165
36.819,-0.391
36.853,0.704
36.886,1.651
36.919,3.954
36.953,4.83
36.986,5.558
37.019,6.191
37.053,6.601
37.086,6.67
37.119,6.591
37.153,6.421
37.186,6.083
37.219,5.549
37.253,4.895
37.286,4.044
37.319,3.146
37.352,1.215
37.386,0.309
37.419,-0.734
37.453,-2.191
37.486,-3.189
37.519,-4.141
37.552,-5.02
37.586,-6.343
37.619,-6.552
37.652,-7.635
37.686,-7.325
37.719,-7.429
37.752,-7.998
37.786,-7.754
37.819,-7.263
37.852,-6.076
37.886,-5.524
37.919,-4.616
37.952,-3.562
37.986,-2.464
38.019,-1.287
38.052,-9.31E-02
38.085,1.242
38.119,2.675
38.152,3.838
38.185,4.555
38.219,5.447
38.252,5.555
38.285,5.631
38.319,6.425
38.352,5.941
38.385,5.818
38.419,5.541
38.452,5.093
38.485,4.315
38.519,3.589
38.552,2.714
38.585,0.869
38.619,0.746
38.652,-0.879
38.685,-1.224
38.719,-2.271
38.752,-3.325
38.786,-4.179
38.819,-4.964
38.853,-5.601
38.885,-6.09
38.919,-6.386
38.952,-6.533
38.985,-6.46
39.018,-7.988
39.052,-7.826
39.085,-7.213
39.118,-6.243
39.152,-5.287
39.185,-2.638
39.218,-1.325
39.252,-0.15
39.285,0.923
39.318,1.993
39.352,2.908
39.385,3.755
39.418,3.524
39.452,4.275
39.485,4.526
39.52,4.877
39.552,5.066
39.585,5.14
39.621,4.75
39.652,4.501
39.685,4.269
